catalog,group,recipe,component,x_span_mm,y_span_mm,z_span_mm
browser,browser,german-matchlock-arquebus-16c,firearm,40.12,3.0,64.231
browser,browser,german-matchlock-arquebus-16c,firearm,40.12,3.0,64.231
browser,browser,german-matchlock-arquebus-16c,firearm,40.12,3.0,64.231
browser,browser,german-matchlock-arquebus-16c,firearm,6.0,12.0,6.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,34.0,64.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,34.0,64.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,10.0,10.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,10.0,10.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,10.0,10.0
browser,browser,single-wheellock-pistol-study,firearm,52.0,445.0,90.0
browser,browser,single-wheellock-pistol-study,firearm,63.905,58.24,63.905
browser,browser,single-wheellock-pistol-study,firearm,23.1,107.1,23.1
browser,browser,single-wheellock-pistol-study,firearm,21.0,207.9,21.0
browser,browser,single-wheellock-pistol-study,firearm,23.1,4.0,23.1
browser,browser,single-wheellock-pistol-study,firearm,4.0,145.0,70.8
browser,browser,single-wheellock-pistol-study,firearm,8.0,48.0,48.0
browser,browser,single-wheellock-pistol-study,firearm,20.0,6.0,6.0
browser,browser,single-wheellock-pistol-study,firearm,5.0,78.6,23.77
browser,browser,single-wheellock-pistol-study,firearm,28.0,28.0,2.0
browser,browser,single-wheellock-pistol-study,firearm,2.0,28.0,8.0
browser,browser,single-wheellock-pistol-study,firearm,2.0,28.0,8.0
browser,browser,single-wheellock-pistol-study,firearm,28.0,2.0,8.0
browser,browser,single-wheellock-pistol-study,firearm,28.0,2.0,8.0
browser,browser,single-wheellock-pistol-study,firearm,28.0,28.0,3.0
browser,browser,single-wheellock-pistol-study,firearm,17.744,2.08,3.795
browser,browser,single-wheellock-pistol-study,firearm,6.0,96.759,26.819
browser,browser,single-wheellock-pistol-study,firearm,5.0,16.0,5.0
browser,browser,single-wheellock-pistol-study,firearm,5.0,16.0,5.0
browser,browser,single-wheellock-pistol-study,firearm,4.0,9.0,6.0
browser,browser,single-wheellock-pistol-study,firearm,10.0,6.0,6.0
browser,browser,single-wheellock-pistol-study,firearm,5.0,35.0,10.0
browser,browser,single-wheellock-pistol-study,firearm,6.0,50.017,27.323
browser,browser,single-wheellock-pistol-study,firearm,4.0,56.323,22.974
browser,browser,single-wheellock-pistol-study,firearm,7.0,80.699,30.915
browser,browser,single-wheellock-pistol-study,firearm,8.0,260.0,8.0
browser,browser,single-wheellock-pistol-study,firearm,42.44,3.0,52.29
browser,browser,single-wheellock-pistol-study,firearm,42.44,3.0,52.29
browser,browser,single-wheellock-pistol-study,firearm,6.0,12.0,6.0
browser,browser,lead-round-ball,ball,11.4,11.4,11.4
browser,browser,small-arms-ball-pouch,pouch,150.0,130.0,3.0
browser,browser,small-arms-ball-pouch,pouch,150.0,130.0,3.0
browser,browser,small-arms-ball-pouch,pouch,3.0,130.0,55.0
browser,browser,small-arms-ball-pouch,pouch,3.0,130.0,55.0
browser,browser,small-arms-ball-pouch,pouch,150.0,3.0,55.0
browser,browser,small-arms-ball-pouch,pouch,150.0,110.0,56.5
browser,browser,small-arms-ball-pouch,pouch,127.5,4.8,4.8
browser,browser,small-arms-ball-pouch,pouch,31.639,84.603,30.114
browser,browser,small-arms-ball-pouch,pouch,31.639,84.603,30.114
browser,browser,small-arms-ball-pouch,pouch,8.0,24.0,8.0
browser,browser,halberd-1540,shaft,40.48,1820.0,40.48
browser,browser,halberd-1540,head socket,46.48,240.0,46.48
browser,browser,halberd-1540,narrow axe blade,167.5,272.7,8.0
browser,browser,halberd-1540,compact downturned beak,100.0,72.0,18.0
browser,browser,halberd-1540,top spike,60.0,320.0,14.0
browser,browser,halberd-1540,left langet,3.0,380.0,13.0
browser,browser,halberd-1540,right langet,3.0,380.0,13.0
browser,browser,halberd-1540,butt cap,43.887,40.0,43.944
browser,browser,lucerne-hammer,shaft,40.48,1740.0,40.48
browser,browser,lucerne-hammer,head socket,46.48,240.0,46.48
browser,browser,lucerne-hammer,compact hammer poll,95.0,75.0,70.0
browser,browser,lucerne-hammer,narrow rear beak,140.0,53.5,18.0
browser,browser,lucerne-hammer,top spike,52.0,310.0,14.0
browser,browser,lucerne-hammer,left langet,3.0,420.0,13.0
browser,browser,lucerne-hammer,right langet,3.0,420.0,13.0
browser,browser,lucerne-hammer,butt cap,43.887,40.0,43.944
browser,browser,pollaxe,shaft,40.48,1480.0,40.48
browser,browser,pollaxe,head socket,46.48,250.0,46.48
browser,browser,pollaxe,waisted narrow axe,118.175,172.8,12.0
browser,browser,pollaxe,compact hammer poll,97.0,65.0,68.0
browser,browser,pollaxe,top spike,48.0,250.0,14.0
browser,browser,pollaxe,left langet,3.0,500.0,13.0
browser,browser,pollaxe,right langet,3.0,500.0,13.0
browser,browser,pollaxe,butt cap,43.887,40.0,43.944
browser,browser,kriegsspiess,shaft,34.96,3350.0,34.96
browser,browser,kriegsspiess,head socket,40.96,180.0,40.96
browser,browser,kriegsspiess,pike head,43.0,250.0,14.0
browser,browser,kriegsspiess,butt cap,38.0,40.0,38.0
browser,browser,short-spear,shaft,36.8,1720.0,36.8
browser,browser,short-spear,head socket,42.8,200.0,42.8
browser,browser,short-spear,leaf head,85.0,310.0,14.0
browser,browser,short-spear,butt cap,39.883,40.0,39.941
browser,browser,partisan,shaft,38.64,1780.0,38.64
browser,browser,partisan,head socket,44.64,220.0,44.64
browser,browser,partisan,blade and short root lugs,145.0,420.0,22.0
browser,browser,partisan,left langet,3.0,320.0,13.0
browser,browser,partisan,right langet,3.0,320.0,13.0
browser,browser,partisan,butt cap,42.0,40.0,41.77
browser,browser,glaive,shaft,38.64,1720.0,38.64
browser,browser,glaive,head socket,44.64,250.0,44.64
browser,browser,glaive,integral glaive blade,166.232,620.0,18.0
browser,browser,glaive,left langet,3.0,400.0,13.0
browser,browser,glaive,right langet,3.0,400.0,13.0
browser,browser,glaive,butt cap,42.0,40.0,41.77
browser,browser,hooked-bill,shaft,40.48,1830.0,40.48
browser,browser,hooked-bill,head socket,46.48,230.0,46.48
browser,browser,hooked-bill,continuous bill and hook,200.0,440.0,20.0
browser,browser,hooked-bill,left langet,3.0,380.0,13.0
browser,browser,hooked-bill,right langet,3.0,380.0,13.0
browser,browser,hooked-bill,butt cap,43.887,40.0,43.944
browser,browser,military-fork,shaft,38.64,1860.0,38.64
browser,browser,military-fork,head socket,44.64,240.0,44.64
browser,browser,military-fork,forged fork head,130.0,390.0,22.0
browser,browser,military-fork,left langet,3.0,340.0,13.0
browser,browser,military-fork,right langet,3.0,340.0,13.0
browser,browser,military-fork,butt cap,42.0,40.0,41.77
browser,browser,landsknecht-longsword,pommel,39.883,55.0,39.941
browser,browser,landsknecht-longsword,grip,33.0,300.0,24.0
browser,browser,landsknecht-longsword,guard,313.37,50.847,15.225
browser,browser,landsknecht-longsword,guard,48.72,19.6,24.0
browser,browser,landsknecht-longsword,blade,58.0,1020.0,7.2
browser,browser,zweihander,pommel,66.041,60.0,66.041
browser,browser,zweihander,grip,38.0,415.0,28.0
browser,browser,zweihander,guard,485.565,89.522,24.36
browser,browser,zweihander,guard,34.131,26.927,19.6
browser,browser,zweihander,guard,34.131,26.927,19.6
browser,browser,zweihander,guard,62.64,25.2,24.0
browser,browser,zweihander,blade,72.0,1280.0,11.7
browser,browser,zweihander,guard-2,180.0,11.165,11.165
browser,browser,zweihander,guard-2,44.08,14.0,24.0
browser,browser,katzbalger,pommel,55.0,45.0,18.0
browser,browser,katzbalger,grip,34.0,115.0,25.0
browser,browser,katzbalger,guard,140.0,50.987,13.0
browser,browser,katzbalger,blade,60.0,680.0,7.2
browser,browser,grosse-messer,pommel,60.0,60.0,18.0
browser,browser,grosse-messer,grip,38.0,215.0,10.0
browser,browser,grosse-messer,grip,34.96,197.8,9.0
browser,browser,grosse-messer,grip,34.96,197.8,9.0
browser,browser,grosse-messer,guard,232.551,35.01,24.36
browser,browser,grosse-messer,guard,8.458,22.5,22.0
browser,browser,grosse-messer,guard,8.458,22.5,22.0
browser,browser,grosse-messer,guard,48.72,19.6,24.0
browser,browser,grosse-messer,blade,95.336,840.0,11.0
browser,browser,grosse-messer,nagel-stem,10.0,10.0,45.0
browser,browser,grosse-messer,nagel-button,15.0,15.0,12.0
browser,browser,dussack,pommel,36.0,32.0,36.0
browser,browser,dussack,grip,32.0,155.0,23.0
browser,browser,dussack,guard,61.329,162.803,10.0
browser,browser,dussack,guard,13.5,10.0,13.5
browser,browser,dussack,guard,13.5,10.0,13.5
browser,browser,dussack,blade,138.333,690.0,12.0
browser,browser,estoc,pommel,60.0,60.0,23.04
browser,browser,estoc,grip,31.0,280.0,23.0
browser,browser,estoc,guard,300.99,25.193,15.225
browser,browser,estoc,guard,48.72,19.6,24.0
browser,browser,estoc,blade,34.0,1050.0,18.0
browser,browser,rondel-dagger,pommel,63.885,16.0,63.942
browser,browser,rondel-dagger,grip,30.0,125.0,22.0
browser,browser,rondel-dagger,guard,63.885,8.0,63.942
browser,browser,rondel-dagger,blade,32.0,380.0,16.0
browser,browser,reitschwert-1540,pommel,60.0,60.0,60.0
browser,browser,reitschwert-1540,grip,31.0,170.0,22.0
browser,browser,reitschwert-1540,guard,232.551,35.01,24.36
browser,browser,reitschwert-1540,guard,23.163,21.689,22.0
browser,browser,reitschwert-1540,guard,23.163,21.689,22.0
browser,browser,reitschwert-1540,guard,48.72,19.6,24.0
browser,browser,reitschwert-1540,compound-hilt,153.388,96.095,6.0
browser,browser,reitschwert-1540,compound-hilt,88.848,173.984,24.355
browser,browser,reitschwert-1540,compound-hilt,116.728,86.933,31.806
browser,browser,reitschwert-1540,compound-hilt,11.0,90.0,5.0
browser,browser,reitschwert-1540,blade,46.0,880.0,9.0
browser,browser,reiter-war-hammer,shaft,33.12,580.0,33.12
browser,browser,reiter-war-hammer,steel haft sheathing,39.12,350.0,39.12
browser,browser,reiter-war-hammer,compact crowned poll,73.0,46.0,50.0
browser,browser,reiter-war-hammer,faceted square beak,75.0,38.0,14.0
browser,browser,reiter-war-hammer,butt cap,36.0,40.0,36.0
browser,browser,hand-axe,shaft,38.64,670.0,38.64
browser,browser,hand-axe,head socket,44.64,100.0,44.64
browser,browser,hand-axe,bearded axe head,197.6,189.0,12.0
browser,browser,hand-axe,butt cap,42.0,40.0,41.77
browser,browser,flanged-mace,shaft,26.0,580.0,26.0
browser,browser,flanged-mace,dark cylindrical grip,39.883,170.0,39.941
browser,browser,flanged-mace,lower grip collar,46.0,14.0,46.0
browser,browser,flanged-mace,upper grip collar,46.0,14.0,46.0
browser,browser,flanged-mace,narrow head sleeve,30.44,90.0,30.44
browser,browser,flanged-mace,longitudinal flanged head,16.0,148.0,16.0
browser,browser,flanged-mace,longitudinal flanged head flange,56.15,140.0,2.5
browser,browser,flanged-mace,longitudinal flanged head flange,30.24,140.0,49.877
browser,browser,flanged-mace,longitudinal flanged head flange,30.24,140.0,49.877
browser,browser,flanged-mace,longitudinal flanged head flange,56.15,140.0,2.5
browser,browser,flanged-mace,longitudinal flanged head flange,30.24,140.0,49.877
browser,browser,flanged-mace,longitudinal flanged head flange,30.24,140.0,49.877
browser,browser,gothic-flanged-mace,shaft,22.0,780.0,22.0
browser,browser,gothic-flanged-mace,dark cylindrical grip,38.0,200.0,38.0
browser,browser,gothic-flanged-mace,lower grip collar,44.0,18.0,44.0
browser,browser,gothic-flanged-mace,upper grip collar,44.0,18.0,44.0
browser,browser,gothic-flanged-mace,narrow head sleeve,26.68,150.0,26.68
browser,browser,gothic-flanged-mace,longitudinal flanged head,18.0,265.0,18.0
browser,browser,gothic-flanged-mace,longitudinal flanged head flange,56.425,250.0,2.0
browser,browser,gothic-flanged-mace,longitudinal flanged head flange,29.945,250.0,49.865
browser,browser,gothic-flanged-mace,longitudinal flanged head flange,29.945,250.0,49.865
browser,browser,gothic-flanged-mace,longitudinal flanged head flange,56.425,250.0,2.0
browser,browser,gothic-flanged-mace,longitudinal flanged head flange,29.945,250.0,49.865
browser,browser,gothic-flanged-mace,longitudinal flanged head flange,29.945,250.0,49.865
browser,browser,buckler,shield,359.883,359.941,9.918
browser,browser,buckler,shield,365.881,365.94,6.0
browser,browser,buckler,shield,170.0,170.0,57.615
browser,browser,buckler,shield,150.39,22.0,53.636
browser,browser,buckler,shield,11.7,11.7,22.3
browser,browser,buckler,shield,11.7,11.7,22.3
browser,browser,targe,shield,500.0,499.763,49.0
browser,browser,targe,shield,516.0,515.755,16.0
browser,browser,targe,shield,130.0,130.0,36.498
browser,browser,targe,shield,22.0,179.688,54.409
browser,browser,targe,shield,16.5,16.5,22.3
browser,browser,targe,shield,16.5,16.5,22.3
browser,browser,targe,shield,35.0,147.2,4.0
browser,browser,targe,shield,35.0,35.0,41.544
browser,browser,targe,shield,35.0,35.0,41.544
browser,browser,round-shield,shield,619.88,619.94,63.0
browser,browser,round-shield,shield,637.877,637.938,18.0
browser,browser,round-shield,shield,180.0,180.0,49.962
browser,browser,round-shield,shield,22.0,179.688,54.409
browser,browser,round-shield,shield,16.5,16.5,22.3
browser,browser,round-shield,shield,16.5,16.5,22.3
browser,browser,round-shield,shield,35.0,147.2,4.0
browser,browser,round-shield,shield,35.0,35.0,41.017
browser,browser,round-shield,shield,35.0,35.0,41.017
browser,browser,heater-shield,shield,480.0,650.0,14.0
browser,browser,heater-shield,shield,488.4,661.375,14.0
browser,browser,heater-shield,shield,22.0,179.688,54.409
browser,browser,heater-shield,shield,16.5,16.5,22.3
browser,browser,heater-shield,shield,16.5,16.5,22.3
browser,browser,heater-shield,shield,35.0,147.2,4.0
browser,browser,heater-shield,shield,35.0,35.0,43.6
browser,browser,heater-shield,shield,35.0,35.0,43.6
browser,browser,pavise,shield,480.0,1050.0,121.89
browser,browser,pavise,shield,487.513,1066.435,78.475
browser,browser,pavise,shield,22.0,199.187,54.891
browser,browser,pavise,shield,16.5,16.5,22.3
browser,browser,pavise,shield,16.5,16.5,22.3
browser,browser,pavise,shield,35.0,165.6,4.0
browser,browser,pavise,shield,35.0,35.0,39.674
browser,browser,pavise,shield,35.0,35.0,39.671
browser,browser,kite-shield,shield,550.0,1060.0,58.0
browser,browser,kite-shield,shield,557.097,1073.677,56.0
browser,browser,kite-shield,shield,160.0,160.0,39.885
browser,browser,kite-shield,shield,22.0,179.688,54.41
browser,browser,kite-shield,shield,16.5,16.5,22.3
browser,browser,kite-shield,shield,16.5,16.5,22.3
browser,browser,kite-shield,shield,35.0,147.2,4.0
browser,browser,kite-shield,shield,35.0,35.0,41.895
browser,browser,kite-shield,shield,35.0,35.0,41.891
browser,browser,roman-tower-shield,shield,650.0,1050.0,130.0
browser,browser,roman-tower-shield,shield,659.798,1065.828,128.0
browser,browser,roman-tower-shield,shield,180.0,180.0,54.936
browser,browser,roman-tower-shield,shield,199.187,22.0,54.882
browser,browser,roman-tower-shield,shield,16.5,16.5,22.3
browser,browser,roman-tower-shield,shield,16.5,16.5,22.3
